Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,1194,1245,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,5034,5216,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,13350,13868,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,33252,34482,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,71815,74256,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,109152,112207,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,113793,116162,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,95623,96775,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,7,7,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,443220,454218,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,137,140,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,360,365,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,872,891,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,2532,2620,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,9421,9891,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,20041,21008,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,25308,26425,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,19541,20141,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,78213,81482,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,416,416,
